35.0,35.0,1016.0,1.0,337.0,sky is clear,6
19.0,19.0,1016.0,0.0,22.0,sky is clear,6
19.0,19.0,1016.0,0.0,337.0,sky is clear,6
19.0,19.0,1015.0,0.0,337.0,sky is clear,6
19.0,19.0,1015.0,2.0,337.0,sky is clear,6
19.0,19.0,1015.0,2.0,337.0,sky is clear,6
26.0,26.0,1014.0,0.0,240.0,sky is clear,6
28.0,28.0,1014.0,0.0,0.0,sky is clear,7
23.0,23.0,1014.0,0.0,337.0,sky is clear,7
38.0,38.0,1013.0,2.0,10.0,sky is clear,7
43.0,43.0,1013.0,1.0,360.0,sky is clear,7
43.0,43.0,1013.0,1.0,20.0,sky is clear,7
53.0,53.0,1013.0,2.0,22.0,sky is clear,7
35.0,35.0,1014.0,1.0,18.0,sky is clear,7
17.0,17.0,1014.0,1.0,14.0,sky is clear,7
62.0,62.0,1014.0,1.0,10.0,sky is clear,7
62.0,62.0,1014.0,0.0,0.0,sky is clear,7
62.0,62.0,1014.0,0.0,45.0,sky is clear,7
50.0,50.0,1027.0,0.0,30.0,sky is clear,7
53.0,53.0,1027.0,0.0,40.0,sky is clear,7
50.0,50.0,1027.0,0.0,40.0,sky is clear,7
100.0,100.0,1027.0,0.0,0.0,sky is clear,7
74.0,74.0,1014.0,0.0,22.0,sky is clear,7
50.0,50.0,1025.0,0.0,220.0,sky is clear,7
63.0,63.0,1025.0,0.0,274.0,sky is clear,7
63.0,63.0,1025.0,0.0,0.0,sky is clear,7
48.0,48.0,1010.0,0.0,274.0,sky is clear,7
48.0,48.0,1010.0,0.0,274.0,sky is clear,7
48.0,48.0,1010.0,0.0,200.0,sky is clear,7
45.0,45.0,1010.0,0.0,240.0,sky is clear,7
45.0,45.0,1010.0,0.0,0.0,sky is clear,8
48.0,48.0,1010.0,0.0,0.0,sky is clear,8
55.0,55.0,1010.0,0.0,40.0,sky is clear,8
51.0,51.0,1010.0,4.0,330.0,sky is clear,8
51.0,51.0,1010.0,0.0,30.0,sky is clear,8
54.0,54.0,1010.0,0.0,0.0,sky is clear,8
50.0,50.0,1010.0,1.0,10.0,sky is clear,8
54.0,54.0,1010.0,0.0,30.0,sky is clear,8
65.0,65.0,1010.0,0.0,22.0,sky is clear,8
54.0,54.0,1009.0,1.0,10.0,sky is clear,8
75.0,75.0,1009.0,0.0,22.0,sky is clear,8
54.0,54.0,1009.0,0.0,10.0,sky is clear,8
80.0,80.0,1009.0,0.0,22.0,sky is clear,8
83.0,83.0,1009.0,0.0,22.0,sky is clear,8
87.0,87.0,1009.0,0.0,22.0,sky is clear,8
88.0,88.0,1009.0,0.0,22.0,sky is clear,8
66.0,66.0,1003.0,0.0,0.0,sky is clear,8
51.0,51.0,1003.0,0.0,274.0,sky is clear,8
51.0,51.0,1003.0,0.0,210.0,sky is clear,8
40.0,40.0,1003.0,0.0,274.0,sky is clear,8
40.0,40.0,1003.0,0.0,274.0,sky is clear,8
40.0,40.0,1003.0,0.0,274.0,sky is clear,8
40.0,40.0,1003.0,0.0,230.0,sky is clear,8
37.0,37.0,1003.0,1.0,200.0,sky is clear,8
40.0,40.0,1003.0,0.0,0.0,sky is clear,9
55.0,55.0,1003.0,0.0,0.0,sky is clear,9
54.0,54.0,1003.0,0.0,30.0,sky is clear,9
54.0,54.0,1003.0,0.0,20.0,sky is clear,9
58.0,58.0,1003.0,0.0,10.0,sky is clear,9
54.0,54.0,1003.0,0.0,360.0,sky is clear,9
54.0,54.0,1003.0,1.0,360.0,sky is clear,9
58.0,58.0,1003.0,0.0,10.0,sky is clear,9
60.0,60.0,1003.0,0.0,5.0,sky is clear,9
62.0,62.0,1003.0,0.0,0.0,sky is clear,9
66.0,66.0,1003.0,0.0,0.0,sky is clear,9
66.0,66.0,1003.0,0.0,20.0,sky is clear,9
86.0,86.0,1003.0,0.0,22.0,sky is clear,9
66.0,66.0,1004.0,0.0,0.0,sky is clear,9
92.0,92.0,1004.0,0.0,22.0,sky is clear,9
76.0,76.0,1014.0,1.0,250.0,sky is clear,9
72.0,72.0,1015.0,2.0,240.0,sky is clear,9
63.0,63.0,1015.0,2.0,290.0,sky is clear,9
59.0,59.0,1014.0,2.0,250.0,sky is clear,9
55.0,55.0,1014.0,2.0,300.0,sky is clear,9
55.0,55.0,1014.0,3.0,260.0,sky is clear,9
48.0,48.0,1013.0,1.0,200.0,sky is clear,9
55.0,55.0,1013.0,1.0,290.0,sky is clear,10
59.0,59.0,1013.0,0.0,0.0,sky is clear,10
62.0,62.0,1014.0,0.0,0.0,sky is clear,10
62.0,62.0,1014.0,0.0,10.0,sky is clear,10
76.0,76.0,1014.0,2.0,80.0,sky is clear,10
62.0,62.0,1015.0,0.0,50.0,sky is clear,10
81.0,81.0,1015.0,1.0,90.0,sky is clear,10
62.0,62.0,1016.0,0.0,30.0,sky is clear,10
81.0,81.0,1016.0,0.0,0.0,sky is clear,10
83.0,83.0,1016.0,0.0,40.0,sky is clear,10
85.0,85.0,1016.0,1.0,80.0,sky is clear,10
87.0,87.0,1017.0,2.0,120.0,sky is clear,10
81.0,81.0,1019.0,1.0,30.0,sky is clear,10
76.0,76.0,1019.0,0.0,0.0,sky is clear,10
93.0,93.0,1019.0,4.0,110.0,sky is clear,10
87.0,87.0,1019.0,4.0,100.0,sky is clear,10
100.0,100.0,1019.0,0.0,0.0,sky is clear,10
81.0,81.0,1020.0,4.0,130.0,sky is clear,10
81.0,81.0,1020.0,4.0,130.0,sky is clear,10
81.0,81.0,1020.0,4.0,130.0,sky is clear,10
76.0,76.0,1019.0,3.0,140.0,sky is clear,10
72.0,72.0,1016.0,2.0,166.0,sky is clear,10
69.0,69.0,1013.0,1.0,192.0,sky is clear,10
69.0,69.0,1013.0,1.0,192.0,sky is clear,11
69.0,69.0,1013.0,1.0,192.0,sky is clear,11
69.0,69.0,1013.0,1.0,192.0,sky is clear,11
69.0,69.0,1013.0,1.0,192.0,sky is clear,11
69.0,69.0,1013.0,1.0,192.0,sky is clear,11
78.0,78.0,1015.0,3.0,146.0,sky is clear,11
87.0,87.0,1017.0,4.0,100.0,sky is clear,11
90.0,90.0,1017.0,2.0,50.0,sky is clear,11
93.0,93.0,1017.0,0.0,0.0,sky is clear,11
93.0,93.0,1017.0,1.0,90.0,sky is clear,11
